         4310950 function calls (4216646 primitive calls) in 6.463 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8141    0.002    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     2926    0.002    0.000    0.006    0.000 re.py:188(match)
      240    0.002    0.000    0.007    0.000 patches.py:546(_bind_draw_path_function)
     1176    0.002    0.000    0.009    0.000 transforms.py:2468(composite_transform_factory)
     6475    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
     1336    0.002    0.000    0.034    0.000 fromnumeric.py:51(_wrapfunc)
    16634    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     2585    0.002    0.000    0.006    0.000 contextlib.py:238(helper)
       13    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
      249    0.002    0.000    0.030    0.000 text.py:129(__init__)
      458    0.002    0.000    0.003    0.000 transforms.py:2017(scale)
     2070    0.002    0.000    0.008    0.000 <__array_function__ internals>:2(dot)
      360    0.002    0.000    0.002    0.000 {method 'round' of 'numpy.ndarray' objects}
1290/1287    0.002    0.000    0.005    0.000 transforms.py:1829(transform_affine)
     4143    0.002    0.000    0.002    0.000 pyparsing.py:304(__init__)
        1    0.002    0.002    0.002    0.002 sig_gen.py:56(<listcomp>)
     1290    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
4568/2817    0.002    0.000    0.008    0.000 {built-in method builtins.hash}
     3270    0.002    0.000    0.055    0.000 inspect.py:3032(bind)
      979    0.002    0.000    0.002    0.000 font_manager.py:849(set_size)
      156    0.002    0.000    0.002    0.000 transforms.py:2799(nonsingular)
      116    0.002    0.000    0.005    0.000 ticker.py:808(_compute_offset)
    12861    0.002    0.000    0.002    0.000 artist.py:217(axes)
      472    0.002    0.000    0.007    0.000 path.py:98(__init__)
      309    0.002    0.000    0.005    0.000 patches.py:764(_convert_units)
  318/305    0.002    0.000    0.003    0.000 transforms.py:392(bounds)
     2585    0.002    0.000    0.015    0.000 contextlib.py:108(__enter__)
      203    0.002    0.000    0.129    0.001 axis.py:294(draw)
        1    0.002    0.002    0.089    0.089 sig_gen.py:143(sig_gen)
1016/1001    0.002    0.000    0.095    0.000 artist.py:1152(set)
      228    0.002    0.000    0.023    0.000 patches.py:772(get_patch_transform)
      680    0.002    0.000    0.018    0.000 text.py:173(update)
     3221    0.002    0.000    0.002    0.000 pyparsing.py:545(__new__)
     1025    0.002    0.000    0.018    0.000 backend_pdf.py:813(output)
3294/1770    0.002    0.000    0.002    0.000 transforms.py:2369(<lambda>)
     1228    0.002    0.000    0.005    0.000 markers.py:238(_recache)
  588/580    0.002    0.000    0.009    0.000 _base.py:766(_unstale_viewLim)
     9801    0.002    0.000    0.002    0.000 deprecation.py:419(<genexpr>)
     5661    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
     8624    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     1135    0.001    0.000    0.004    0.000 text.py:820(get_unitless_position)
   360/64    0.001    0.000    0.063    0.001 pyparsing.py:4249(parseImpl)
      327    0.001    0.000    0.002    0.000 stride_tricks.py:414(_broadcast_shape)
      522    0.001    0.000    0.004    0.000 font_manager.py:1417(get_font)
      347    0.001    0.000    0.004    0.000 shape_base.py:612(column_stack)
        1    0.001    0.001    0.002    0.002 sig_gen.py:57(<listcomp>)
       73    0.001    0.000    0.026    0.000 backend_pdf.py:2256(draw_text)
     1478    0.001    0.000    0.006    0.000 transforms.py:170(invalidate)
      456    0.001    0.000    0.001    0.000 transforms.py:2879(_interval_contains_close)
      747    0.001    0.000    0.002    0.000 font_manager.py:831(set_stretch)
     8203    0.001    0.000    0.001    0.000 sig_gen.py:87(<genexpr>)
      332    0.001    0.000    0.003    0.000 artist.py:1131(update_from)
     8001    0.001    0.000    0.001    0.000 fromnumeric.py:3317(_mean_dispatcher)
        1    0.001    0.001    0.002    0.002 sig_gen.py:59(<listcomp>)
     1360    0.001    0.000    0.001    0.000 {built-in method builtins.round}
    14129    0.001    0.000    0.001    0.000 inspect.py:2543(default)
    24606    0.001    0.000    0.001    0.000 {built-in method math.isnan}
  432/408    0.001    0.000    0.002    0.000 spines.py:330(get_spine_transform)
     8203    0.001    0.000    0.001    0.000 sig_gen.py:63(<genexpr>)
      116    0.001    0.000    0.003    0.000 ticker.py:847(_set_order_of_magnitude)
     2131    0.001    0.000    0.004    0.000 backend_pdf.py:546(write)
      616    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      132    0.001    0.000    0.038    0.000 patches.py:598(draw)
      472    0.001    0.000    0.002    0.000 __init__.py:133(check_shape)
      584    0.001    0.000    0.013    0.000 transforms.py:829(from_extents)
     3396    0.001    0.000    0.001    0.000 enum.py:631(__new__)
     9298    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      328    0.001    0.000    0.005    0.000 transforms.py:1956(rotate)
     5262    0.001    0.000    0.004    0.000 pyparsing.py:1777(get)
      337    0.001    0.000    0.005    0.000 axis.py:531(update_position)
     8203    0.001    0.000    0.001    0.000 sig_gen.py:65(<genexpr>)
     8203    0.001    0.000    0.001    0.000 sig_gen.py:64(<genexpr>)
      311    0.001    0.000    0.002    0.000 lines.py:1111(set_linestyle)
      160    0.001    0.000    0.024    0.000 backend_agg.py:190(draw_text)
  327/325    0.001    0.000    0.005    0.000 transforms.py:1758(__eq__)
     1024    0.001    0.000    0.024    0.000 backend_pdf.py:1115(get_char_width)
      675    0.001    0.000    0.006    0.000 transforms.py:1813(frozen)
     2256    0.001    0.000    0.004    0.000 artist.py:193(convert_xunits)
  351/346    0.001    0.000    0.005    0.000 transforms.py:1089(get_points)
      135    0.001    0.000    0.001    0.000 function_base.py:1164(diff)
      332    0.001    0.000    0.019    0.000 _mathtext.py:260(_get_info)
     3595    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFBBDF5B810}
      856    0.001    0.000    0.001    0.000 __init__.py:170(__init__)
     1025    0.001    0.000    0.009    0.000 backend_pdf.py:814(<listcomp>)
     1391    0.001    0.000    0.001    0.000 __init__.py:858(clean)
      182    0.001    0.000    0.007    0.000 transforms.py:487(transformed)
      333    0.001    0.000    0.001    0.000 text.py:40(get_rotation)
     1580    0.001    0.000    0.003    0.000 __init__.py:1325(_to_unmasked_float_array)
      252    0.001    0.000    0.002    0.000 _methods.py:91(_clip_dep_is_scalar_nan)
     5031    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     2057    0.001    0.000    0.003    0.000 pyplot.py:822(_auto_draw_if_interactive)
      116    0.001    0.000    0.001    0.000 ticker.py:2020(scale_range)
      940    0.001    0.000    0.019    0.000 transforms.py:2377(transform_affine)
     2037    0.001    0.000    0.006    0.000 figure.py:50(_stale_figure_callback)
      792    0.001    0.000    0.007    0.000 fromnumeric.py:2268(any)
