,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
16,(0.712242738990127+0.1735350671826837j),(0.22316150495781956+0.09118626377936817j),(-0.0910126118669648-0.06059428202327706j),(-0.024879634946598665-0.1251077480004532j),(0.000245527643886842+0.2533243400155509j),(0.21163663120705628-0.08401527653943244j),(0.8953996954432014-0.2287892495181406j),(0.22009288634681418+0.304735957991593j),(-0.07310198543656386+0.08021373215110958j),(0.7437344308569991-0.027656150799204082j),(-0.16521128355201134-0.3565393641214532j),(-0.26012747704854394+0.02141704606741701j),(-0.10107431422807674-0.006648320510514149j),(-0.04168606384071754+0.015785708988377757j),(-0.09266726638086625+0.01250034348161212j),(0.6587256654738782+2.14806415478445j),(1.1133510992238707-0.2163033723695528j),(0.6169191722327805-0.10196342751456636j),(0.3118719181001383-0.07388511694280876j),(0.25433189148200697-0.2811624056660801j),(-0.0983826021885918+0.4273673768202402j),(-0.12541748737811442+0.3054975178107144j),(-0.05110520547904318-0.05110373367532108j),(0.06184564607245652-0.03784221432015289j),(-0.22844389785943095+0.13578761978877996j)
17,(0.8361014490982895+0.2968759920296798j),(0.2952020106112092+0.008293486353297158j),(0.2104359339926333-0.08553636610328452j),(0.07716884109750753-0.12479657290174177j),(-0.21444114639122586+0.17177661934207927j),(0.14167388865518213-0.0530343401123908j),(0.7257428696072251+0.03836948161498345j),(-0.45561303174532947-0.12250287229979423j),(-0.1289464717176072-0.08457138900102255j),(0.1293340841611783-0.1958591871873625j),(0.07778601064824726-0.33357502450465387j),(-0.3701965027434484+0.31350432850369686j),(0.23384841323260402-0.35344962220252946j),(0.04613660898013761-0.08065560251623453j),(0.17352445167308056+0.2780872841741867j),(0.9904747556600249+0.9416261636596853j),(0.605691260771362-0.8159639850152314j),(0.1549903953305658+0.705006195115941j),(0.08096038081383827+0.05134989737569415j),(-0.7509180474651566-0.13114188287926482j),(-0.06823275985331403+0.25253734476859524j),(0.025266721994632597+0.29225084286150793j),(0.027215654131130106-0.0841936967001331j),(0.0484082776787986-0.02048182080003726j),(0.02382156159942331-0.033145748817827766j)
18,(0.4894665587076498+0.03856042448112677j),(0.6126206123497407-0.11712489057293504j),(-0.23168616082886373+0.4430022371894408j),(-0.06176689019198148+0.04321142867441912j),(-0.08545568824196621-0.2010807577704688j),(0.48958796745018823+0.06535036220482265j),(0.4926824820859909+0.3082221231842273j),(-0.09535466486837962+0.05797949687019102j),(0.007099936645636656-0.060008735800174406j),(-0.013979897561312918-0.09970581086445572j),(-0.3686394320069966-0.10063934890569025j),(-0.026447141463083086+0.17526675670846334j),(-0.19413569243889806-0.5172666957529924j),(-0.06136247330970007-0.11442800617149687j),(0.16640123092192824+0.09969476990700098j),(2.7055114247617618-0.28022801634987615j),(-1.0518654406601804+0.5670203976093735j),(3.540697205140484+1.2348773570240765j),(1.0817260799595287+0.15971918843716731j),(-1.1187321986720498+0.29709610295321603j),(-0.010620645594651472-0.2159994970024178j),(0.3426630098191515+0.02295341246071267j),(-0.18926584697079715-0.24052443025291126j),(-0.07409151490098975-0.09410955888645217j),(0.06522566117754616+0.010764959650471372j)
19,(0.4203508761148866+0.14512808830349216j),(-0.06841468203555429-0.04510017838901591j),(0.11715799656640245+0.4358296748024297j),(0.062094693654436255-0.01808024357717864j),(0.08554716975804488+0.12195100120810502j),(0.15091783616478072-0.0005018050290663374j),(0.26985647764715714+0.06282519671044179j),(-0.0969257820299335+0.004586064519975619j),(0.07625207976992744-0.055228345126723075j),(-0.16904029328256862+0.1831183700607587j),(0.14071132151648655-0.21409950059698826j),(-0.08600310350970661+0.12500911546389915j),(0.3180598278127207-0.053694603766011255j),(0.007543907741801643-0.013658283142840292j),(0.04825215296102929-0.11537331661388639j),(1.9754029222533322-0.4361235212546142j),(0.3557340928910571+1.5184723686747343j),(1.3838030160696668+0.19296085537428076j),(0.5851239899013457-0.11173499940733111j),(-0.7749278413225552-0.10928369019146145j),(0.4735769299933333-0.08429337707294343j),(-0.2947658558560793-0.04440687135202544j),(0.47029074991040126+0.42769445400404227j),(0.010451056548348991-0.018609325046862153j),(0.2842740605794584-0.042523681840591715j)
20,(0.4547809598237278+0.4184410188498922j),(-0.448136441417891+0.261345257316474j),(0.23189049383430976+0.6793382432699224j),(0.10134446633009359+0.040951858082206825j),(0.2866901676741374-0.12666209304889076j),(-0.060768686725619886-0.10743106286620016j),(0.20716879046260903-0.03512482524656617j),(0.00396522223034744-0.255177090531284j),(-0.0390117337419231-0.024351370425435663j),(-0.011313870771327174-0.016119778038852367j),(0.06553705863259063-0.3043223093299419j),(0.32499394764574724+0.18889538822645355j),(0.31687318767074324-0.3630504809435597j),(-0.019633424870792913-0.07818151189077602j),(-0.07042719465132588-0.07642092859379768j),(-0.5166582976713848-0.15740661120855864j),(-1.3418418792748583-0.19423115082465608j),(-0.5498180366352396+1.234466482867213j),(0.2382964740710568+0.1646698898151481j),(-0.9472554948242926+0.5419860045093496j),(0.4315078969506207+0.37219220171726297j),(0.36459759547675497+0.36937011811626097j),(0.49618650673230913-0.1543337475496267j),(-0.0416989342721029-0.08132608300690213j),(0.6625223450718265-0.18493560247491517j)
21,(0.7455815812423862+0.0766148465963935j),(0.0505475645033721+0.11871581539175949j),(0.3175512435734254-0.3492453143875895j),(-0.09897682419824524+0.020968278915177052j),(-0.08684371206188861-0.21292957192262307j),(-0.0839780622395175-0.06450591543336878j),(0.12095658020447342-0.09487811067492595j),(-0.06408150560006769+0.08741516807789898j),(0.06353168901014447-0.01603431551820511j),(0.3049074130583539-0.008572766020455258j),(0.03697386326297284+0.19922112358330504j),(-0.06722327408138827+0.17171013661021658j),(0.06420416405659948-0.000641976732351765j),(-0.0386262408644935+0.02970309867759975j),(-0.17524011596312+0.22201199897787155j),(-1.0058900397126678+0.07325471140353997j),(-0.12984880925659645-0.16495879982647588j),(-0.3215658300193108+0.5280319554270589j),(0.11433274846728367-0.060800985629183j),(0.11351770553323104+0.18918796672343455j),(0.26098442673580446-0.05372387790244933j),(0.417780596927797-0.07949601227605708j),(0.013830412266108934+0.037205312430640465j),(0.12340544499649717+0.0014109965539848002j),(0.8338435296615017+0.0797062264400662j)
22,(0.7840678248454196-0.27934720694483406j),(-0.11858682708880376-0.3799699019168902j),(0.29870895948237525+0.1189656086022397j),(-0.03185226204445735-0.025584415294063165j),(0.060159144961951384-0.07120464022210209j),(-0.21593451286723872+0.7165499160887981j),(0.5134100772317188+0.4282651322284626j),(-0.35023455090918454-0.1781312674214918j),(0.017890328044885932+0.10506952644440244j),(-0.06949270935674422+0.31045370669414973j),(0.07481696142350192+0.3225215438751981j),(0.1693034629181075+0.2810176299620527j),(-0.012098669699856152-0.18550966086563098j),(-0.04705822179813584+0.07057666766232022j),(-0.13352909431971577+0.1699015137391855j),(0.134973016996124-1.4762624516886729j),(0.7103136104693045-1.9540586909492317j),(-1.2971371444566624+1.0964742331697306j),(0.6676371528799252-0.15993362225127467j),(1.53517047274429-0.21262357468618576j),(-0.1985560236513826+0.08633109763291483j),(0.2331217640491079+0.26399882005173725j),(-0.23249188302415907-0.22365213661543593j),(0.02513465404383488+0.08793185120325629j),(-0.01789364939119853+0.19652535783327776j)
23,(0.5505896022654121-0.14050440612308646j),(-0.18090380409260734-0.25087231356679607j),(0.17598693044006114+0.05453922392988768j),(-0.01838512515709388-0.014147097033931674j),(-0.042031753174727786+0.08407152974951168j),(-0.2050620119433667+0.43272587397275936j),(0.5321475278898326+0.18069981018997744j),(-0.019503157847245076-0.006322875825487917j),(-0.0462270853364003+0.048922126538115604j),(-0.04724164564121147-0.23608923778041513j),(0.45080857346126585+0.054278200537815034j),(0.042622962253769124-0.06698881523611948j),(0.2045241589363257+0.07280625471757969j),(-0.06209090698272751-0.005171318694293896j),(-0.015889809233655197-0.04610187036785807j),(-1.3482410472341648+0.08321872242770445j),(-1.0708322191632038-1.3912904759541815j),(-1.4712996106219136+0.07122550079950551j),(0.6752722344098048-0.11812979230187615j),(-0.29998625390125666+1.0299937466389406j),(-0.17359397608631588-0.09735962672323543j),(-0.009997205094242389+0.047734201545742656j),(-0.05611320248529901-0.06736376274431238j),(0.01570489024936943+0.01458747761472232j),(0.004640466858813813+0.00512813351740766j)
24,(0.4791561152838805-0.1475949592744186j),(0.1928751136549617-0.2924068293509912j),(-0.06593426868418363-0.13158813440143521j),(-0.010054261679995711+0.11064112942265875j),(0.05373378318230265-0.4152615342319012j),(0.02634076878255645+0.2176907085566465j),(0.6527117502452462-0.09727364956942508j),(0.10061173728635654+0.2363964195443219j),(0.01287827395366574+0.06645077887956115j),(-0.5899178655476351-0.25084800365032245j),(-0.032307451416712776+0.17592054200480503j),(0.0982923615547758-0.11406978204806097j),(0.14632292822018728+0.03763061131699045j),(0.00524759104354644-0.02607108335941811j),(-0.13118142544155323+0.284243363499439j),(0.27735565430549763-1.5122825116849778j),(0.305524061707396-0.291469349505317j),(-0.8089388962235864+0.29417250626893054j),(0.22025101563087468+0.3517667732570292j),(-1.302738007727653-2.208903329895053j),(0.17826035424374584-0.01977877084370187j),(-0.12249545782998578+0.10364781303440165j),(-0.07943943942832093-0.15975593447768344j),(-0.0529860504500381+0.013042475012937203j),(0.45295094132548913-0.1445287757301758j)
25,(0.07447374464676702-0.01900900546315046j),(-0.24095776661398668+0.07508539955778509j),(0.15261305952915719+0.10665333273719849j),(-0.04638156748783451-0.060684634893736336j),(0.12431510908552776+0.36346527912620147j),(0.08765287035749872-0.18350135344173074j),(0.6250108017674745+0.07836419740226702j),(-0.20374792309578996-0.16148635257428376j),(-0.0398788399520736+0.1531552048559911j),(-0.23820890341576287-0.3720616504182088j),(-0.1224827741600221-0.018513673070323953j),(-0.0818515750045987+0.14728135990883942j),(0.1453317607891866-0.13278190319036615j),(-0.01780064128897283+0.019891699702177502j),(0.4700815815380871-0.09539696537667688j),(-1.1136873476697504+0.44433786201791364j),(-0.9110448545049984-0.6119881477490896j),(0.25198148387546593-0.24755054127544815j),(0.3825693121646552-0.06805118773299582j),(1.329622644595103-0.584337640630009j),(-0.22184200965791806-0.10631694891285078j),(-0.18323096656731916+0.03642822860255427j),(0.24929794441032654-0.08243139985643096j),(-0.00015773579473660204+0.02967645787678907j),(0.6765496033256825+0.14147789898424523j)
